"No.","Time","Source","Destination","Protocol","Length","Info"
"76","2024-04-12 10:03:41,776148","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"77","2024-04-12 10:03:45,809701","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"78","2024-04-12 10:03:51,042306","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"79","2024-04-12 10:03:53,426287","fe80::212:4b00:1665:2a04","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"80","2024-04-12 10:03:53,426865","","","IEEE 802.15.4","5","Ack"
"81","2024-04-12 10:03:54,895565","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"82","2024-04-12 10:03:54,896101","","","IEEE 802.15.4","5","Ack"
"83","2024-04-12 10:03:58,218701","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"84","2024-04-12 10:03:58,235281","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"85","2024-04-12 10:03:58,243908","","","IEEE 802.15.4","5","Ack"
"86","2024-04-12 10:03:58,265530","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"87","2024-04-12 10:03:58,266809","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"88","2024-04-12 10:03:58,295274","","","IEEE 802.15.4","5","Ack"
"89","2024-04-12 10:03:58,324120","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"90","2024-04-12 10:03:58,324741","","","IEEE 802.15.4","5","Ack"
"91","2024-04-12 10:03:58,354225","fe80::212:4b00:1665:2a04","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"92","2024-04-12 10:03:58,354721","","","IEEE 802.15.4","5","Ack"
"93","2024-04-12 10:04:00,138150","fe80::212:4b00:c46:c300","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"94","2024-04-12 10:04:00,138731","","","IEEE 802.15.4","5","Ack"
"95","2024-04-12 10:04:01,382709","fe80::212:4b00:1204:d199","fe80::212:4b00:1665:2a04","ICMPv6","102","RPL Control (DODAG Information Object)"
"96","2024-04-12 10:04:01,383206","","","IEEE 802.15.4","5","Ack"
"97","2024-04-12 10:04:33,767431","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","102","RPL Control (DODAG Information Object)"
"98","2024-04-12 10:04:33,767939","","","IEEE 802.15.4","5","Ack"
"99","2024-04-12 10:04:34,592620","fe80::212:4b00:c46:c300","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"100","2024-04-12 10:04:47,905634","fe80::212:4b00:1204:d199","fe80::212:4b00:c46:c300","ICMPv6","102","RPL Control (DODAG Information Object)"
"101","2024-04-12 10:04:47,906269","","","IEEE 802.15.4","5","Ack"
"102","2024-04-12 10:04:51,444757","fe80::212:4b00:173d:8a03","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
"103","2024-04-12 10:04:53,078415","fe80::212:4b00:c46:c300","fe80::212:4b00:1204:d199","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"104","2024-04-12 10:04:53,078919","","","IEEE 802.15.4","5","Ack"
"105","2024-04-12 10:04:53,090832","fe80::212:4b00:1204:d199","fe80::212:4b00:173d:8a03","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"106","2024-04-12 10:04:53,091199","","","IEEE 802.15.4","5","Ack"
"107","2024-04-12 10:04:54,188646","fe80::212:4b00:1204:d199","ff02::1a","ICMPv6","97","RPL Control (DODAG Information Object)"
